xflr5 v6.48

 Calculated polar for: FX 63-137 13.7% smoothed

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.064     Re =     0.350 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 14.500, 1.7744, 0.07127, 0.06519,-0.1337,0.0843,1.0000,-4.7547, 0.0000, 0.2979
 15.000, 1.7839, 0.07680, 0.07093,-0.1331,0.0813,1.0000,-5.0347, 0.0000, 0.2959
 15.500, 1.7919, 0.08253, 0.07676,-0.1326,0.0784,1.0000,-5.3193, 0.0000, 0.2941
 16.000, 1.8026, 0.08782, 0.08220,-0.1321,0.0757,1.0000,-5.6218, 0.0000, 0.2921
 16.500, 1.8101, 0.09389, 0.08853,-0.1325,0.0729,1.0000,-5.9124, 0.0000, 0.2907
 17.000, 1.8157, 0.10017, 0.09489,-0.1333,0.0695,1.0000,-6.2178, 0.0000, 0.2896
 17.500, 1.8165, 0.10751, 0.10250,-0.1350,0.0659,1.0000,-6.4898, 0.0000, 0.2892
 18.000, 1.8177, 0.11487, 0.11003,-0.1372,0.0627,1.0000,-6.7685, 0.0000, 0.2890
 18.500, 1.8234, 0.12108, 0.11637,-0.1388,0.0600,1.0000,-7.0761, 0.0000, 0.2882
 19.000, 1.8233, 0.12877, 0.12437,-0.1419,0.0575,1.0000,-7.3397, 0.0000, 0.2885
 19.500, 1.8250, 0.13603, 0.13177,-0.1451,0.0551,1.0000,-7.6344, 0.0000, 0.2887
 20.000, 1.8259, 0.14328, 0.13923,-0.1485,0.0526,1.0000,-7.9177, 0.0000, 0.2890


